web-scraper-order,web-scraper-start-url,Title,Date,Rating,Verified,Review
1587556167-4298,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,What I expected,"Reviewed in the United States on March 19, 2020",4.0 out of 5 stars,Verified Purchase,Decent shoe.
1587556167-4420,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great!!!!!!,"Reviewed in the United States on July 20, 2019",5.0 out of 5 stars,Verified Purchase,Great!!!!!
1587556167-4200,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,You get what you paid for.,"Reviewed in the United States on March 13, 2020",1.0 out of 5 stars,Verified Purchase,Tore my heels up
1587556167-4036,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Non replaceable cushions.,"Reviewed in the United States on August 26, 2019",2.0 out of 5 stars,Verified Purchase,The shoe gradually hurt my feet after about a month and a half. Weird because all my other ones from them were great.
1587556167-4599,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Poor quality,"Reviewed in the United States on February 29, 2020",1.0 out of 5 stars,Verified Purchase,"Poor quality ,,,"
1587556167-4343,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,*,"Reviewed in the United States on April 20, 2020",5.0 out of 5 stars,Verified Purchase,Great shoes! Super comfy! Seller was super easy to work with and fast with order processing!
1587556167-4272,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,My son was extremely happy,"Reviewed in the United States on December 29, 2019",5.0 out of 5 stars,Verified Purchase,Thanks my son loved them
1587556167-3732,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Just Awesome! New favorite shoes,"Reviewed in the United States on September 3, 2019",5.0 out of 5 stars,Verified Purchase,"Awesome shoes! I’m completely in love with these shoes, I bought them to travel around Europe and they feel really comfortable, run true to size and are very lightweight. They also feel fresh because of their mesh top."
1587556167-3857,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Insanely tight way off the size I ordered,"Reviewed in the United States on January 23, 2020",1.0 out of 5 stars,Verified Purchase,It's sad I had to give this item a 1 star all other items I buy off Amazon always rate it a 5 star these shoes fit insanely tight I wear a size 9.5 but these fit like a size 8 and now Amazon doesn't let me return these for a bigger size I will never purchase any shoes from Amazon again
1587556167-4606,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Need to return,"Reviewed in the United States on January 2, 2020",2.0 out of 5 stars,Verified Purchase,Christmas gift
1587556167-3722,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great product,"Reviewed in the United States on October 31, 2019",5.0 out of 5 stars,Verified Purchase,"I love Under Armour and this one is perfect! it has a very nice looking and very comfortable for training, for walking and casual. I already bought 3 for my friends too. Def recommend!"
